seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X004	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	38020090	38020140	51	*	X023	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	207097311	207097866	556	*	X038	9214	207076631	207095378	18748	-	1932	upstream	1932	FCMR
chr2	114737260	114737593	334	*	X068	100499194	114735246	114737561	2316	-	0	overlapStart	0	LOC100499194
chr2	114737260	114737593	334	*	X068	440900	114737146	114764887	27742	+	0	inside	113	LINC01191
chr3	44771019	44771231	213	*	X091	115560	44771098	44778575	7478	+	0	overlapStart	0	ZNF501
chr3	62861876	62861967	92	*	X093	8618	62384021	62861064	477044	-	811	upstream	811	CADPS
chr3	160167876	160168046	171	*	X101	286827	160153291	160167626	14336	-	249	upstream	249	TRIM59
chr3	160167876	160168046	171	*	X101	57560	159945241	160167626	222386	-	249	upstream	249	IFT80
chr3	160168062	160168097	36	*	X102	286827	160153291	160167626	14336	-	435	upstream	435	TRIM59
chr3	160168062	160168097	36	*	X102	57560	159945241	160167626	222386	-	435	upstream	435	IFT80
chr3	170626698	170626929	232	*	X105	56648	170606204	170626426	20223	-	271	upstream	271	EIF5A2
chr3	180319550	180319574	25	*	X107	151613	180319918	180335616	15699	+	343	upstream	343	TTC14
chr5	114880832	114881025	194	*	X155	56929	114856608	114880591	23984	-	240	upstream	240	FEM1C
chr5	114881040	114881061	22	*	X156	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	150284294	150284886	593	*	X159	91975	150273954	150284545	10592	-	0	overlapStart	0	ZNF300
chr5	177434096	177434278	183	*	X164	653316	177433967	177476088	42122	+	0	inside	128	FAM153CP
chr5	179499265	179499515	251	*	X166	55819	179382474	179499109	116636	-	155	upstream	155	RNF130
chr7	766086	766174	89	*	X193	54919	766338	826116	59779	+	163	upstream	163	DNAAF5
chr7	5111454	5111590	137	*	X196	389458	5111691	5112854	1164	+	100	upstream	100	RBAKDN
chr7	56516214	56516308	95	*	X199	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	100025749	100025872	124	*	X207	56257	100026413	100031749	5337	+	540	upstream	540	MEPCE
chr9	37119979	37120069	91	*	X247	84186	37120469	37358145	237677	+	399	upstream	399	ZCCHC7
chr9	115818914	115818993	80	*	X256	7539	115804174	115818996	14823	-	0	inside	2	ZFP37
chr9	115819027	115819279	253	*	X257	7539	115804174	115818996	14823	-	30	upstream	30	ZFP37
chr12	56882555	56882587	33	*	X315	27165	56864736	56882181	17446	-	373	upstream	373	GLS2
chr16	3355256	3355309	54	*	X354	7627	3355433	3368576	13144	+	123	upstream	123	ZNF75A
chr16	3355256	3355309	54	*	X354	91151	3348808	3355439	6632	-	0	inside	129	TIGD7
chr16	4589072	4589129	58	*	X358	29965	4560677	4588816	28140	-	255	upstream	255	CDIP1
chr16	29984622	29984778	157	*	X362	9344	29985188	30003582	18395	+	409	upstream	409	TAOK2
chr16	30108047	30108113	67	*	X363	83719	30103635	30107537	3903	-	509	upstream	509	YPEL3
chr16	30108252	30108553	302	*	X364	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108589	30108599	11	*	X365	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr17	57642632	57642836	205	*	X392	79665	57642886	57685713	42828	+	49	upstream	49	DHX40
chr19	10947271	10947427	157	*	X424	11018	10943114	10946983	3870	-	287	upstream	287	TMED1
chr19	35596674	35597084	411	*	X440	100128675	35549963	35597208	47246	-	0	inside	123	HPN-AS1
chr19	37862352	37862457	106	*	X446	84503	37862059	37883966	21908	+	0	inside	292	ZNF527
chr19	37958576	37958632	57	*	X447	148268	37958674	37976242	17569	+	41	upstream	41	ZNF570
chr19	52408303	52408314	12	*	X451	65251	52392488	52408305	15818	-	0	overlapStart	0	ZNF649
chr19	52408359	52408428	70	*	X452	65251	52392488	52408305	15818	-	53	upstream	53	ZNF649
chr19	52430646	52430755	110	*	X453	79898	52430688	52449011	18324	+	0	overlapStart	0	ZNF613
chr19	52490178	52490278	101	*	X454	59348	52467593	52490079	22487	-	98	upstream	98	ZNF350
chr19	52490295	52490315	21	*	X455	59348	52467593	52490079	22487	-	215	upstream	215	ZNF350
chr19	52511390	52511449	60	*	X456	284370	52494587	52511483	16897	-	0	inside	33	ZNF615
chr19	52643449	52643460	12	*	X457	90317	52617653	52643191	25539	-	257	upstream	257	ZNF616
chr19	56879602	56879647	46	*	X464	147947	56879468	56891196	11729	+	0	inside	133	ZNF542P
chr19	56879602	56879647	46	*	X464	79149	56732679	56879752	147074	-	0	inside	104	ZSCAN5A
chr19	56879725	56879796	72	*	X465	147947	56879468	56891196	11729	+	0	inside	256	ZNF542P
chr19	56879725	56879796	72	*	X465	79149	56732679	56879752	147074	-	0	overlapStart	0	ZSCAN5A
chr19	56879809	56879823	15	*	X466	79149	56732679	56879752	147074	-	56	upstream	56	ZSCAN5A
chr19	56988896	56989672	777	*	X467	100128252	56989243	57006805	17563	+	0	overlapStart	0	ZNF667-AS1
